easting0 [km], northing0 [km], easting1 [km], northing1 [km]
2.3515328e+02, 6.0818718e+02, 2.3635000e+02, 6.1050075e+02
2.3435762e+02, 6.0615832e+02, 2.3511042e+02, 6.0412240e+02
2.5851761e+02, 5.8441557e+02, 2.6151740e+02, 5.8440795e+02
2.4433086e+02, 5.8375257e+02, 2.4558721e+02, 5.7873079e+02
2.4390734e+02, 6.0273759e+02, 2.4631823e+02, 6.0166449e+02
2.4233572e+02, 6.1295008e+02, 2.4246275e+02, 6.1066664e+02
2.5538690e+02, 6.1292947e+02, 2.5589844e+02, 6.1504775e+02
2.5355956e+02, 5.9513561e+02, 2.5448839e+02, 5.9291655e+02
2.2820054e+02, 5.8825024e+02, 2.3385317e+02, 5.9082856e+02
2.4474049e+02, 5.8141402e+02, 2.4732451e+02, 5.8088359e+02
2.3502717e+02, 5.8533725e+02, 2.3584764e+02, 5.8200683e+02
2.4831088e+02, 5.7970248e+02, 2.5351202e+02, 5.7925554e+02
2.3894724e+02, 6.0176325e+02, 2.4028119e+02, 5.9692890e+02
2.4110189e+02, 5.8260844e+02, 2.4383720e+02, 5.8207330e+02
2.3962752e+02, 6.1080379e+02, 2.4419526e+02, 6.1047103e+02
2.5072415e+02, 5.8948809e+02, 2.5085857e+02, 5.8642967e+02
2.3649197e+02, 5.7483363e+02, 2.3724970e+02, 5.7723424e+02
2.5649320e+02, 6.1504092e+02, 2.5630368e+02, 6.1276293e+02
2.4475532e+02, 5.8276879e+02, 2.4771463e+02, 5.8093737e+02
2.5968975e+02, 5.7030776e+02, 2.6057974e+02, 5.7325272e+02
2.6530237e+02, 5.7654084e+02, 2.6796168e+02, 5.7687491e+02
2.3165787e+02, 5.7013514e+02, 2.3797048e+02, 5.7069093e+02
2.5388368e+02, 5.7730181e+02, 2.5443082e+02, 5.7411210e+02
2.6108524e+02, 5.9883889e+02, 2.6281533e+02, 5.9383591e+02
2.6724095e+02, 5.8009191e+02, 2.6776953e+02, 5.8277483e+02
2.5134810e+02, 5.7314178e+02, 2.5160948e+02, 5.6902044e+02
2.6426761e+02, 5.7905537e+02, 2.6455732e+02, 5.7663524e+02
2.3293606e+02, 5.8289501e+02, 2.3537550e+02, 5.8339835e+02
2.6455100e+02, 5.7500919e+02, 2.6449246e+02, 5.6833835e+02
2.6095803e+02, 5.6802292e+02, 2.6447454e+02, 5.6655518e+02
2.6815939e+02, 5.7267109e+02, 2.6833017e+02, 5.6564090e+02
2.3691853e+02, 6.0450805e+02, 2.4017801e+02, 6.0059838e+02
2.3417197e+02, 5.9023090e+02, 2.3641849e+02, 5.8903992e+02
2.6565209e+02, 5.7135077e+02, 2.6801623e+02, 5.7017504e+02
2.5593591e+02, 5.8233757e+02, 2.5673217e+02, 5.7855792e+02
2.5430570e+02, 6.1512210e+02, 2.5422786e+02, 6.1270425e+02
2.4583263e+02, 6.1054607e+02, 2.4629424e+02, 6.0444652e+02
2.5264397e+02, 5.7370666e+02, 2.5464106e+02, 5.7320774e+02
2.5791556e+02, 6.1282413e+02, 2.5879278e+02, 6.1499041e+02
2.5352204e+02, 5.8738715e+02, 2.5442409e+02, 5.8556518e+02
2.3608075e+02, 6.0471657e+02, 2.3907368e+02, 6.0515858e+02
2.5877997e+02, 5.7428164e+02, 2.5878978e+02, 5.6601763e+02
2.4947349e+02, 5.6900727e+02, 2.5606081e+02, 5.6831133e+02
2.6368109e+02, 5.8788826e+02, 2.6488661e+02, 5.9075236e+02
2.6417436e+02, 5.8714146e+02, 2.6652716e+02, 5.8714610e+02
2.3887243e+02, 5.9479280e+02, 2.4026495e+02, 5.9117718e+02
2.3314792e+02, 5.9802537e+02, 2.3474530e+02, 5.9363898e+02
2.4475326e+02, 6.1554999e+02, 2.5127894e+02, 6.1114135e+02
2.5559965e+02, 6.1279736e+02, 2.5550225e+02, 6.0980981e+02
2.4034197e+02, 5.7533704e+02, 2.4077046e+02, 5.7232260e+02
2.3433162e+02, 6.1185462e+02, 2.3471510e+02, 6.0819798e+02
